economy,anomaly_score,is_anomaly,arm_strict,arm_relative,gdp_growth,ai_readiness
LIE,-0.21545725155503892,True,0,0,-1.15748291975636,98.2641983
LUX,-0.08944857512382043,True,0,0,0.35861253942069,99.12902211
WLD,-0.08342935274315977,True,0,0,2.87194964204316,73.6
EAS,-0.07522178537007695,True,0,0,3.79010550023051,88.4
CYM,-0.06958820784589026,True,0,0,5.8155918263088,25.656968516087456
MCO,-0.06361124272656271,True,0,0,8.51053758860212,68.89262199561034
KOR,-0.05166910446746953,True,0,0,2.00361101838986,0.0
CHN,-0.03676147780028527,True,0,0,4.9773565917572,91.6
ISR,-0.033061408330671616,True,0,0,0.871968424377442,0.0
SWE,-0.03136074907731046,True,0,0,0.820071806703865,95.76629783
SWZ,-0.028664795344365834,True,0,0,2.97391075973985,0.0
MOZ,-0.02742744380501816,True,0,0,2.14854964610538,0.0
HKG,-0.021954501090965306,True,0,0,2.50498758466826,0.0
ZAF,-0.020856848660354033,True,0,1,0.534843531905139,0.0
UMC,-0.020491921992724205,True,0,0,4.17952127549748,88.8
USA,-0.02032169210058199,True,0,0,2.79300127716779,0.0
CHE,-0.01647326514976899,True,0,0,1.30233332541106,97.32103855
NAM,-0.016383988632492297,True,0,0,3.71154502416731,0.0
DJI,-0.010564654616894598,True,0,0,6.98048467276334,0.0
HIC,-0.008682814059250754,True,0,0,1.95000793704469,94.2
NAC,-0.00738323210179187,True,0,0,2.69993075266272,95.6
WSM,-0.007115450584479488,True,0,0,4.74838445564714,0.0
BDI,-0.006638362659197983,True,0,0,4.11227376264944,3.192270040512085
TUR,-0.006255871334923724,True,0,0,3.3276230893799,89.77024003
MLT,-0.0042116562114393186,True,0,0,6.79990300224401,0.0
SGP,-0.002955233624202136,True,0,0,4.38802362461865,0.0
ZMB,-2.9995814081473782e-05,True,0,0,3.82004825518591,0.0
BWA,0.0002699623267334861,False,0,1,-2.98986879467928,0.0
KWT,0.004771182557416542,False,0,0,-2.56011099967517,100.0
ISL,0.0073755320447079775,False,0,0,-0.970676468918384,0.0
AGO,0.007599830771473803,False,0,0,4.42390664406875,0.0
IRL,0.009138014989504673,False,0,0,2.59946721553708,0.0
SSD,0.009919998417787734,False,0,0,-10.7933646271143,0.0
IND,0.01614405498852589,False,0,0,6.49476552383821,43.61162599231358
MAC,0.01662969687395849,False,0,0,7.84960207010525,0.0
JPN,0.018089433824770185,False,0,0,0.104309021773304,0.0
SST,0.021220984460381898,False,0,0,6.12150935431907,0.0
COG,0.022215289008644223,False,0,0,2.57966943921721,0.0
CYP,0.0233484856763867,False,0,0,3.94077381708404,0.0
GRC,0.026279275303961624,False,0,0,2.0865743380603,0.0
BMU,0.027269602388359904,False,0,0,5.97253260071749,4.29022298476359
ECS,0.0285740842146181,False,0,0,1.56624845618092,92.4
AUT,0.029483040641230362,False,0,0,-0.659089573171372,91.92573373
NER,0.031110998858728367,False,0,0,10.3000000007793,0.0
UKR,0.03139394222083325,False,0,0,2.9138222142611,33.38254658267797
FIN,0.03223222971970674,False,0,0,0.416171964862073,0.0
KIR,0.03258753286053684,False,0,0,5.26689747917099,45.96036994567597
CAF,0.03336325545064606,False,0,0,1.49999999847535,0.0
UGA,0.03401644156713918,False,0,0,6.05558075875589,0.0
LSO,0.03411460565840774,False,0,0,2.85452253179545,0.0
SYR,0.03417326314341185,False,0,0,0.732781301861365,0.0
MKD,0.034929279276022296,False,0,0,2.99373536567732,93.1
KAZ,0.03569016731254998,False,0,0,4.99999999996936,26.4306430203071
ZWE,0.03587003580287068,False,0,1,1.74239524880791,0.0
TCD,0.036916634956951244,False,0,0,4.19925854085865,0.0
NOR,0.03713396147209991,False,0,0,2.09723059960317,0.0
PLW,0.03877247279349688,False,1,0,2.21599800170485,59.92346042480823
NLD,0.04006737675794236,False,0,0,1.08100584845663,0.0
GRD,0.04015921758055746,False,0,0,3.96332516398188,36.04731579803728
TEA,0.0416164097719009,False,0,0,4.96151507087535,88.9
SOM,0.04267088861645624,False,0,0,4.11139335779471,0.0
EAP,0.04338281202460936,False,0,0,4.96144388249688,88.1
LMC,0.04344851334153044,False,0,0,5.17324978806563,62.9
AZE,0.04378151952717163,False,0,0,4.07140205008956,90.80000181
DNK,0.04536847372573782,False,0,0,3.47783593140312,0.0
PHL,0.04633763323667883,False,0,0,5.69201612823412,0.0
BRA,0.046648683704841765,False,0,0,3.41931516597739,0.0
MDG,0.04736278645687669,False,0,0,4.19999999988647,0.0
COL,0.047388031721537105,False,0,1,1.5983315366523,0.0
KNA,0.04834144114262656,False,0,0,0.312226855858171,76.88400269
MEA,0.048740733758199484,False,0,0,2.11232485351741,63.7
MNA,0.04993315931292541,False,0,0,2.22259348944316,0.0
AFG,0.05023326751408319,False,0,0,2.26694373649188,0.0
MYS,0.05075516870626945,False,0,0,5.10545921024041,0.0
LIC,0.05107908389382737,False,0,0,2.32616172345091,23.4
SVN,0.05141088611167671,False,0,0,1.73139722479493,0.0
YEM,0.051484917931400254,False,0,0,0.752447592962554,0.0
SAS,0.05152938411738939,False,0,0,6.23259967615652,67.8
PSE,0.05155452336796151,False,0,1,-26.5575264529877,0.0
BEL,0.052633731615274126,False,0,0,1.07045413019414,0.0
COD,0.052699360095471603,False,0,0,6.12675551779212,0.0
PNG,0.053398510785690134,False,0,0,3.79979560086888,0.0
TLS,0.05557914438298567,False,0,1,-9.10069369772735,0.0
IBT,0.059400925270803484,False,0,0,4.34846625464438,70.3
GBR,0.059762052537998434,False,0,0,1.1264226705118,0.0
QAT,0.0599860395361666,False,0,0,2.35970586926597,0.0
TZA,0.060214428678026344,False,0,0,5.5263138305945,0.0
DEU,0.060288903088103474,False,0,0,-0.495851897260366,0.0
MDA,0.06033639102642302,False,0,1,0.103059364371205,0.0
LAO,0.060369776829097166,False,0,0,4.13019264436937,0.0
GEO,0.06097618038676583,False,0,0,9.67979387500691,44.74306106567385
VNM,0.06098143076912471,False,0,0,7.09118746633975,0.0
PAN,0.06141723115113318,False,0,0,2.74788545546916,0.0
AUS,0.06208058283089951,False,0,0,1.37340773365975,0.0
IBD,0.062179189321243944,False,0,0,4.3517642428957,82.7
STP,0.06314800746004762,False,0,1,1.09999940100751,0.0
BRB,0.06357670457466613,False,0,0,2.4822621396186,25.400539558443
MWI,0.06362025804340943,False,0,0,1.6734340852915,0.0
HTI,0.06422549835220182,False,0,1,-4.16963395808132,0.0
BEN,0.06485608407892707,False,0,0,7.45311566226201,0.0
BTN,0.06523236431836449,False,0,0,4.63215704523927,0.0
ARE,0.06583081417828046,False,0,0,3.99180705485398,0.0
IRQ,0.06590181584052263,False,0,1,-1.54525198318304,0.0
CHL,0.06625346443570002,False,0,0,2.64431154871538,0.0
TSA,0.06713779111414658,False,0,0,6.23259967615652,67.8
NRU,0.06802024078565505,False,0,1,1.38888888888904,83.01170349
GAB,0.06928411149234726,False,0,0,3.39403899592401,0.0
TEC,0.06954070803683637,False,0,0,3.80534822218803,90.8
ALB,0.07005768340886165,False,0,0,4.04592845095348,0.0
CZE,0.07067087573417263,False,0,0,1.23308611983484,0.0
PST,0.07137106124452103,False,0,0,1.79546895973735,0.0
GUY,0.07147503390915638,False,0,0,43.8193108024355,0.0
RWA,0.07181000434919776,False,0,0,8.89065529573114,0.0
MRT,0.0720897839264098,False,0,0,6.30760213290844,0.0
SVK,0.07239049880884185,False,0,0,1.93867445549446,0.0
LCA,0.0726997849385344,False,0,0,3.89175024218898,0.0
ARM,0.07316737952950847,False,0,0,5.90000000046228,0.0
BLR,0.07368142722215071,False,0,0,4.00984852465452,0.0
ECA,0.07392827755196701,False,0,0,3.9823947129598,87.5
HUN,0.07431181560675743,False,0,0,0.560117843140432,0.0
EGY,0.07444895825614667,False,0,0,2.3991692678251,19.01991732549735
THA,0.07447290433282838,False,0,0,2.54182067735289,24.53882210372805
CHI,0.07458048791504535,False,0,0,3.71500590367266,0.0
VEN,0.0746030876329658,False,1,0,5.29999999999984,0.0
LBN,0.07461691644606977,False,0,1,-0.760584470257314,40.75138826032226
VIR,0.07481718750803434,False,0,0,-1.31123206333498,0.0
NPL,0.0748883659431741,False,0,0,3.66537430744967,0.0
GIN,0.07494477087488788,False,0,0,5.35004659051708,0.0
LCN,0.07506435069071332,False,0,0,2.25365117533329,83.7
GNB,0.07527641249493439,False,0,0,4.14631137217332,0.0
ETH,0.07564162444089012,False,0,0,7.61277447511073,0.0
MLI,0.07587600893783802,False,0,0,4.99226917482922,0.0
KHM,0.07592924237359544,False,0,0,5.97510939607335,0.0
ERI,0.07759567741790513,False,0,0,8.67980010138049,0.0
SSF,0.07772714229141103,False,0,0,3.59733324708962,35.7
FRA,0.07797220003130689,False,0,0,1.19046798275883,0.0
LDC,0.07835806244893673,False,0,0,3.85645809654653,33.7
IDX,0.07849627574489354,False,0,0,4.54306460750766,36.1
GNQ,0.07871345832798643,False,0,1,0.907248245986736,0.0
KGZ,0.07923590834088856,False,0,0,9.04013556120012,26.93808737813065
SLE,0.07933660142095966,False,0,0,4.29322336690163,0.0
SDN,0.07952252571881235,False,0,0,-13.9643375197179,0.0
FSM,0.07971833157514352,False,0,1,0.718990177344025,39.52360153
LBR,0.07984858914558635,False,0,0,4.02185464964835,0.0
TLA,0.07988152137559318,False,0,0,2.2781470509277,83.9
MMR,0.08023521905128655,False,0,1,-0.97204641363362,0.0
ESP,0.08085924879985296,False,0,0,3.45525405630191,0.0
IMN,0.08094164823809541,False,0,0,-4.16539345213232,0.0
AND,0.08135070327250432,False,0,0,3.37182032638998,64.11799105419192
LAC,0.0813949469660068,False,0,1,1.97324501012739,83.6
TON,0.08208749247990577,False,0,0,2.79014366862668,0.0
NIC,0.08239120673705397,False,0,0,3.5878302292345,0.0
AFE,0.08273598645911773,False,0,0,2.76383869054277,30.4
CRI,0.08274437737830037,False,0,0,4.32122429646145,0.0
ARG,0.08280024841509082,False,0,1,-1.34293072157739,0.0
OSS,0.0828971056818203,False,0,0,2.8832579743179,0.0
EST,0.0831003978087777,False,0,0,-0.0900428648493801,0.0
TMN,0.08314935245515442,False,0,0,2.41973722378488,60.2
BFA,0.08332971967516067,False,0,0,4.79980951667159,0.0
JOR,0.08349766257503294,False,0,0,2.48889409603647,0.0
MEX,0.0835504509881203,False,0,1,1.42742769080466,0.0
LBY,0.08362139129579788,False,0,1,1.89995052025442,0.0
SLB,0.08368105508763274,False,0,0,2.99755987604104,0.0
GMB,0.0836849079862848,False,0,0,5.55126069510321,0.0
TKM,0.08386704582498522,False,0,0,6.2994265836889,0.0
DMA,0.08387038342358222,False,0,0,2.052738472526,82.04689789
OED,0.08414723450670453,False,0,0,1.80676868744605,0.0
ECU,0.08434414776960852,False,0,1,-2.00125476341026,0.0
GTM,0.08435160842751627,False,0,0,3.65186382894819,0.0
RUS,0.08455800205305763,False,0,0,4.34437475491529,0.0
CAN,0.08475633273938982,False,0,0,1.55479521049516,0.0
SMR,0.08544203666156674,False,0,0,0.401934896977224,63.06328831452648
IDB,0.08656125850480378,False,0,0,4.05581991807422,44.2
FRO,0.08713198498751917,False,0,0,0.843716851362103,0.0
SYC,0.0877494391102871,False,0,0,3.46568066415341,31.70403251488429
BHR,0.0880030464877774,False,0,0,2.60379670648454,0.0
POL,0.08837582154160445,False,0,0,3.02841630700273,0.0
UZB,0.0885887549100014,False,0,0,6.49999999997677,29.9043491463196
DZA,0.0886716505388011,False,0,0,3.69999999907979,0.0
KEN,0.08903782795000975,False,0,0,4.72473994710138,0.0
EMU,0.0894685886710464,False,0,0,0.911910157337687,0.0
BHS,0.08974635160413263,False,0,0,3.37866553336166,0.0
AFW,0.08994329513044719,False,0,0,4.5856736208091,42.4
GHA,0.09013006864330919,False,0,0,5.59045469593266,0.0
SAU,0.09030716017878937,False,0,0,1.99650173436159,0.0
IDA,0.09073237846490095,False,0,0,4.30577432199132,38.9
IRN,0.0910676563304228,False,0,0,3.66312056830718,0.0
BGD,0.09157310928075824,False,0,0,4.22325911250161,0.0
MIC,0.09181223829685886,False,0,0,4.38303528532211,0.0
VCT,0.0923714255869168,False,0,0,4.06183490050209,0.0
MNE,0.09251762448344569,False,0,0,3.16409886329913,0.0
CPV,0.09251936988509935,False,0,0,7.24388538990945,0.0
LMY,0.09305819403364052,False,0,0,4.36075037491024,0.0
TGO,0.09313256358319477,False,0,0,6.53204505563791,0.0
HND,0.09320818719603696,False,0,0,3.55397003296669,0.0
MNG,0.09370952791466053,False,0,0,5.12204539122661,0.0
TUV,0.09387221457805583,False,0,0,3.85280919517032,9.67548076923075
SSA,0.09394968339664556,False,0,0,3.36470475625489,36.5
CIV,0.09423803533422415,False,0,0,6.01953461940062,0.0
TSS,0.09442850711290274,False,0,0,3.59733324708967,35.2
PYF,0.09455106239016747,False,0,0,1.12638897730247,0.0
LTE,0.09475111825177929,False,0,0,4.48755005392181,0.0
JAM,0.09478891951240548,False,0,1,-0.535039063867487,0.0
FCS,0.09507733209013297,False,0,0,2.00694502217958,38.5
TUN,0.09587800287568099,False,0,1,1.61444564976986,0.0
EUU,0.09606936425244611,False,0,0,1.06455789818651,0.0
SUR,0.09689717894140026,False,0,1,1.72095737011739,0.0
PAK,0.09754150129587563,False,0,0,3.04898287335465,0.0
HPC,0.09775867458368193,False,0,0,5.14470675657978,0.0
CMR,0.09787703417503124,False,0,0,3.52472308052245,0.0
HRV,0.09789151483159059,False,0,0,3.82688702890739,0.0
ABW,0.098024928718285,False,0,0,6.81077669324542,7.03277092796885
TJK,0.09836298373467234,False,0,0,8.39999980983981,0.0
VUT,0.09869623613232181,False,0,1,0.942185362275907,0.0
TTO,0.09916800411614257,False,0,0,2.50920813979569,0.0
MDV,0.09934962901323402,False,0,0,3.49440422654285,0.0
NGA,0.10012240724789795,False,0,0,4.06236408888319,0.0
BRN,0.10022600985327773,False,0,0,4.05251709306727,0.0
NCL,0.10026681929938758,False,0,0,-13.5,0.0
PRY,0.10080191062830834,False,0,0,4.24996010464072,0.0
ATG,0.10148472335066916,False,0,0,3.65638765956977,36.365200045
SLV,0.10268182548166976,False,0,0,2.60202016121069,0.0
URY,0.10311823688198019,False,0,0,3.10825478066172,0.0
ITA,0.10322583333269869,False,0,0,0.692676948440536,0.0
TCA,0.1039427395839716,False,0,0,5.63682517443362,0.0
BOL,0.10414478401694793,False,0,1,-1.12335595517212,0.0
COM,0.10456292326882438,False,0,0,3.3381010943571,0.0
PRI,0.10547583053546711,False,0,0,3.17707554784896,0.0
NZL,0.10566329835251465,False,0,0,1.28862004711685,0.0
BIH,0.10589778427371815,False,0,0,2.9715174617652,0.0
LKA,0.10652380631974873,False,0,0,5.00871930957159,0.0
SXM,0.10663542481796323,False,0,0,3.00000000000014,0.0
PRT,0.10734231202742484,False,0,0,2.13967177177636,0.0
BGR,0.10737578254718566,False,0,0,3.38709063847314,0.0
FJI,0.1077762457708516,False,0,0,3.53085896076352,0.0
GRL,0.10821316564907274,False,0,0,0.865961986998158,0.0
PER,0.10838543595273092,False,0,0,3.30394098171516,0.0
MAR,0.10868504078040486,False,0,0,3.79336515978963,0.0
SEN,0.1087109807508585,False,0,0,6.06055141198976,0.0
ROU,0.10890939761555035,False,0,1,0.916003764382594,0.0
PRE,0.1094672262977539,False,0,0,3.31272809044805,0.0
BLZ,0.1097495762144936,False,0,0,3.50466435023895,0.0
CEB,0.11028284977927161,False,0,0,2.0701601704917,0.0
CUB,0.11130428319425656,False,0,1,-1.06173273220524,0.0
LVA,0.11151595208047765,False,0,0,-0.0461080109713521,0.0
MUS,0.11196493308627903,False,0,0,4.92512304864294,0.0
GUM,0.11196960768294495,False,0,0,5.09986426216793,0.0
CSS,0.11291301058608455,False,0,0,13.3129250895082,0.0
EAR,0.11321428831616265,False,0,0,3.66894359356229,0.0
IDN,0.11377123569447428,False,0,0,5.03034469419038,0.0
MHL,0.11526866066336272,False,0,0,2.50192717852873,42.37922739791937
DOM,0.1154379853184096,False,0,0,4.95352204492849,0.0
LTU,0.11584944974334388,False,0,0,2.77263124530285,0.0
SRB,0.1165192089988058,False,0,0,3.94992622592932,0.0
OMN,0.11778649505935546,False,0,0,1.63163221127449,0.0
CUW,0.12373501858769648,False,0,0,5.02690000000014,0.0
ARB,0.12406440832347565,False,0,1,1.70353102787844,0.0
PSS,0.12430792624209924,False,0,0,3.39271983855302,0.0
XKX,0.12614629772084723,False,0,0,4.5730971681166,0.0
MNP,0.13037787624541208,False,0,0,16.6427546628408,0.0
ASM,0.13106577043514023,False,1,1,1.73501577287065,0.0
MAF,0.13414897753931837,False,0,0,4.89999967133534,0.0
