economy,anomaly_score,is_anomaly,arm_relative,gdp_growth,knowledge_complexity,product_density
LIE,-0.15650653307188406,True,0,-1.15748291975636,2.355327338883869,0.7630486953585175
WLD,-0.10960538034201711,True,0,2.87194964204316,2.9017943238915174,0.5123316434191639
LUX,-0.0887884784479171,True,0,0.35861253942069,0.5377952423361678,0.8541945169640962
KOR,-0.0781626164221329,True,0,2.00361101838986,2.7596433005189183,0.8581072316461374
CYM,-0.07797151650829565,True,0,5.8155918263088,1.284751427808964,0.7314468610832108
USA,-0.07753238414213587,True,0,2.79300127716779,1.7534157932642338,0.9231127563091664
EAS,-0.07426183302256334,True,0,3.79010550023051,3.1517951055297266,0.5711844356518483
HKG,-0.06625364177035303,True,0,2.50498758466826,2.1941073832374496,0.8082810306159565
MCO,-0.0616844922691932,True,0,8.51053758860212,0.6306290148654254,0.9208679390577739
CHN,-0.055503525584026325,True,0,4.9773565917572,2.8829443916134045,0.5795467999792899
NAC,-0.05257093464232404,True,0,2.69993075266272,2.300793209355218,0.9285606015797635
HIC,-0.05035522782100338,True,0,1.95000793704469,2.657160566849746,0.7761575507302045
ISR,-0.042076490869008165,True,0,0.871968424377442,2.3912491075538673,0.8202729606495536
SGP,-0.036894570787889436,True,0,4.38802362461865,1.8643325121320058,0.9163873151442576
UMC,-0.034139537934833875,True,0,4.17952127549748,2.4418680971755142,0.5551301874457307
CHE,-0.0327945197881388,True,0,1.30233332541106,2.1611280938656794,0.9894671202978509
SWE,-0.022328371403274205,True,0,0.820071806703865,2.1454113827969485,0.9049925293762828
TUR,-0.01818521861113176,True,0,3.3276230893799,1.360985232625043,0.6096582179724508
JPN,-0.017391306684231833,True,0,0.104309021773304,1.3399047337231729,0.8666081892046184
ECS,-0.012815654412031419,True,0,1.56624845618092,1.8617352446269115,0.8047965179185147
WSM,-0.011144730459990204,True,0,4.74838445564714,0.10248079765961732,0.4511081169348049
DJI,-0.011006707290328432,True,0,6.98048467276334,-0.8341548621533763,0.356269704853005
SWZ,-0.010930742506826185,True,0,2.97391075973985,-0.9906894999604386,0.2791375577269373
MLT,-0.008042356907408343,True,0,6.79990300224401,1.0591698464105364,0.7339122423804001
BDI,-0.007871994184141029,True,0,4.11227376264944,-1.600547512290383,0.10744976661042847
IND,-0.001365542883297488,True,0,6.49476552383821,0.11425889809335596,0.36910581104163515
IRL,-3.0357807483727406e-05,True,0,2.59946721553708,1.513469172510153,0.9740283341627062
MAC,0.00027322026735349114,False,0,7.84960207010525,0.7293922656557479,0.8072649226198736
BWA,0.0019249390651124854,False,1,-2.98986879467928,-0.8089741827955459,0.28616135872052617
AUT,0.0027019935013984364,False,0,-0.659089573171372,2.0735291013151715,0.8958235312681603
ISL,0.0031159738385205804,False,0,-0.970676468918384,1.8530641167834871,0.9259974817488982
LMC,0.007040259382197045,False,0,5.17324978806563,0.10574763867984216,0.30493066851772765
ZAF,0.007141208290249501,False,1,0.534843531905139,-0.4363083261093674,0.347957925423664
NAM,0.009145130361690013,False,0,3.71154502416731,-0.6558740703904039,0.2757348020946756
KWT,0.009705987897393131,False,0,-2.56011099967517,0.565679679719186,0.6405695317206608
BMU,0.013423719355707797,False,0,5.97253260071749,-0.21314562846378626,0.8593563512647207
GRC,0.015743609853248464,False,0,2.0865743380603,1.575395230246712,0.7201820646373985
FIN,0.017061742311371586,False,0,0.416171964862073,1.4895138991338512,0.8706300583368437
