economy,year,fdi_inflows,rd_spending,patent_apps,internet_users,gdp_growth,gdp_per_capita,tertiary_enrollment,gini,services_emp,unemployment,high_tech_exp,arm_trapped,income_level,ai_readiness
ABW,2024,2.42051208397071,,1.0,97.17,6.81077669324542,33373.9174591266,14.0655418559377,,,,6.86800836378335,,high,7.03277092796885
AFE,2025,2.15814407842415,0.586779084367876,,30.4,2.76383869054277,1435.35627774336,8.66186046600342,,34.6968130103833,7.53923442390472,5.84676186051693,0.0,middle,30.4
AFG,2025,0.144466946606861,,,16.09499931,2.26694373649188,378.06630312259,10.85435962677,,29.4719178364586,13.351,0.0,,low,0.0
AFW,2025,2.39840367592386,0.27753675622014,,42.4,4.5856736208091,1816.34604380299,10.1902599334717,,43.2531195385582,3.19055229252225,3.14322306755451,0.0,middle,42.4
AGO,2025,-1.0986881170909,0.03229,2.0,40.70479965,4.42390664406875,2845.47779302975,9.9549065722902,51.3,40.8514654803696,14.108,16.6897206933082,0.0,middle,0.0
ALB,2025,6.32349466068578,0.19997,23.0,85.86389923,4.04592845095348,6549.23387415397,84.1496200561523,29.4,47.2443938528146,10.926,1.52935344981595,0.0,middle,0.0
AND,2024,6.64266743694098,0.15818,3.0,94.39759827,3.37182032638998,41034.5266723078,67.6767676767677,,,,21.4346319155008,,high,64.11799105419192
ARB,2025,3.63591508558193,0.677204976660046,,,1.70353102787844,6282.0327428409,35.0803985595703,,60.0880075341387,9.22073083160848,4.96255409646317,0.0,middle,0.0
ARE,2025,8.26261712974626,1.49469,69.0,100.0,3.99180705485398,41605.4168670844,63.7384451086316,26.4,67.9677172675509,2.174,8.96029397394575,,high,0.0
ARG,2025,1.82409522925391,0.60111,406.0,89.66715228,-1.34293072157739,12774.3506596628,107.822574129434,42.4,71.8147392248427,7.145,3.85019697474113,0.0,middle,0.0
ARM,2025,0.506878336560983,0.2861,40.0,81.33930206,5.90000000046228,5378.31799981682,52.7748065090859,27.4,51.7297438371184,12.871,23.6403270515259,0.0,middle,0.0
ASM,2022,,0.39552,,,1.73501577287065,13709.0974895473,,,,,,1.0,middle,0.0
ATG,2024,11.1314252318887,,5.0,72.73040009,3.65638765956977,18350.185036972,25.1156271899089,,,,0.0,,high,36.365200045
AUS,2025,3.03883928325354,1.85783,2966.0,96.13140106,1.37340773365975,61480.670710531,108.421989440918,33.8,78.5307299266158,4.09,25.1586416457084,,high,0.0
AUT,2025,2.55351579610657,3.25517,1872.0,91.92573373,-0.659089573171372,45958.8250071261,92.6126708984375,31.2,72.5860340795189,5.582,18.4525766859019,,high,91.92573373
AZE,2025,0.311206693209432,0.20778,119.0,90.80000181,4.07140205008956,5871.14373251952,41.3413783372226,26.6,50.2379526950328,5.457,2.91095088102775,0.0,middle,90.80000181
BDI,2025,1.08105925624791,0.21312,2.0,8.595999718,4.11227376264944,268.700857391724,6.38454008102417,37.5,11.555679288196,0.922,1.30508367041098,,low,3.192270040512085
BEL,2025,-6.1601989579997,3.27235,799.0,95.77579144,1.07045413019414,45045.6601021398,82.1475601196289,26.8,79.7685825220163,5.906,20.3921453422236,,high,0.0
BEN,2025,2.5276563137227,,,33.98379898,7.45311566226201,1324.78312597434,10.2350101470947,34.4,41.442370995676,1.589,30.5389584270212,,middle,0.0
BFA,2025,0.358681465803854,0.10477,2.0,28.25270081,4.79980951667159,763.833733522408,10.0419678526515,37.4,31.558141814278,3.477,1.64548901950889,,low,0.0
BGD,2025,0.283870773350074,,74.0,53.42171316,4.22325911250161,1941.27874360025,23.7295608009814,30.9,37.7062779422273,3.778,0.539452073551698,0.0,middle,0.0
BGR,2025,3.1312025090285,0.79224,165.0,82.438955,3.38709063847314,10126.8980075708,69.5460433959961,39.5,67.4343775753033,3.536,13.4299683659831,0.0,middle,0.0
BHR,2025,5.73694505846498,0.19327,3.0,100.0,2.60379670648454,25812.4504577306,58.3677241853667,,64.2593849930069,1.102,0.387343644517371,,high,0.0
BHS,2025,1.51932088638775,,4.0,92.47270203,3.37866553336166,33968.2032187918,,,84.4354393074231,9.207,0.0,,high,0.0
BIH,2025,3.39024835333872,0.21437,53.0,86.10091103,2.9715174617652,6730.26828824205,45.5027618408203,30.3,52.6908459507566,11.037,6.16317357059664,0.0,middle,0.0
BLR,2025,2.28598440253164,0.5872,276.0,94.26182128,4.00984852465452,6792.13183495565,70.1107509145358,24.4,59.4634450411494,3.38,6.01576846359853,0.0,middle,0.0
BLZ,2025,4.00992513639046,,1.0,80.00582262,3.50466435023895,6290.49294452749,24.8098643151325,39.9,68.5182208409985,8.856,0.000191087699111545,0.0,middle,0.0
BMU,2024,1.27620852105354,0.22546,,98.37,5.97253260071749,122117.603586776,17.3357105255127,,,,14.3007432825453,,high,4.29022298476359
BOL,2025,0.652112801170427,0.06308,5.0,79.70469666,-1.12335595517212,3045.61476602385,,40.9,55.4920644482231,2.967,8.79395083358911,0.0,middle,0.0
BRA,2025,3.38960802616211,1.1938,4666.0,84.46347227,3.41931516597739,9566.74408628371,69.7317733764648,50.3,72.1590982894571,5.97,11.1103644206652,0.0,middle,0.0
BRB,2025,4.04185101459713,,73.0,70.36470032,2.4822621396186,21581.2171257633,50.801079116886,34.1,82.5829576162959,6.524,19.9263557583818,,high,25.400539558443
BRN,2025,0.189449066349964,0.27764,2.0,96.29828801,4.05251709306727,29563.8682753082,36.4182725443167,,78.4133595005728,5.277,1.06433459453488,,high,0.0
BTN,2025,0.338339566584512,0.09979,1.0,91.27739716,4.63215704523927,3480.51388574877,13.011259392916,28.5,41.751131926612,3.227,0.0107261524845822,0.0,middle,0.0
BWA,2025,2.40833479893043,0.561,3.0,57.45950036,-2.98986879467928,6937.33180990267,21.4087908549348,54.9,66.1987613296387,24.477,0.539469030954736,0.0,middle,0.0
CAF,2025,1.46851186564355,,,13.78250027,1.49999999847535,389.938307964229,2.77519989013672,43.0,20.5464005334446,6.251,8.29978042191414,,low,0.0
CAN,2025,2.81029565355294,1.7908,4710.0,94.353302,1.55479521049516,44413.3983847404,76.2666931152344,31.5,80.1468654728121,6.907,16.7779029827711,,high,0.0
CEB,2025,-0.147680272642613,1.34190356157401,,,2.0701601704917,16856.766201271,68.5388870239258,,63.3998239108127,4.14452082089943,15.8809772241043,0.0,high,0.0
CHE,2025,-11.5737467714118,3.22178,1288.0,97.32103855,1.30233332541106,90067.4645431168,73.5430526733398,33.8,78.1685429889649,4.873,29.6239015157944,,high,97.32103855
CHI,2025,,,,,3.71500590367266,69818.1528119104,,,85.2925913112242,6.169,,,high,0.0
CHL,2025,3.79129110936144,0.39205,402.0,95.590243,2.64431154871538,14579.4001071307,110.176902770996,43.0,72.4344092725215,8.974,8.31650307450688,0.0,high,0.0
CHN,2025,0.0989988051182737,2.57729,1426644.0,91.6,4.9773565917572,13121.6769905565,76.8757843123403,36.0,46.5308142926728,4.615,26.2777380479223,0.0,middle,91.6
CIV,2025,3.58346670744132,0.06975,26.0,41.43219902,6.01953461940062,2395.67689089222,12.3354902267456,35.3,40.301955185326,2.323,5.25759412069948,0.0,middle,0.0
CMR,2025,1.66655391243674,,,46.25880051,3.52472308052245,1480.73097431993,16.6614294830602,42.2,43.5314147377979,3.602,2.10363029161033,0.0,middle,0.0
COD,2025,4.10789956662809,0.40638,72.0,19.67350006,6.12675551779212,554.244129980766,6.37987995147705,44.7,33.4535474279797,4.434,0.199611665225369,,low,0.0
COG,2025,3.83980276481754,0.38339,,47.25159836,2.57966943921721,1679.58061097707,10.3812103271484,48.9,44.1675053748199,19.876,3.15972234574724,0.0,middle,0.0
COL,2025,3.26725954832527,0.2894,432.0,79.34543299,1.5983315366523,6863.59563194342,59.2901382446289,54.4,65.8427408631905,8.29,9.02469704912672,0.0,middle,0.0
COM,2025,0.492716315085539,,,32.51750183,3.3381010943571,1401.88898411553,18.8190281456697,30.3,51.6476459333985,3.819,3.13907204820087,0.0,middle,0.0
CPV,2025,4.03361601888808,0.06622,1.0,74.73519897,7.24388538990945,4448.96609078891,24.2905954414767,42.4,67.6890056766895,11.939,1.15215005835922,0.0,middle,0.0
CRI,2025,5.55680052586902,0.33738,15.0,87.17019653,4.32122429646145,14866.5823676109,55.0202903747559,45.5,70.032117480454,6.843,22.8587994049653,0.0,high,0.0
CSS,2025,10.6792439839521,,,,13.3129250895082,18582.6849984925,22.4458999633789,,70.8769280432021,7.55114639676154,4.36134895566411e-05,0.0,high,0.0
CUB,2025,,0.43839,21.0,70.47699738,-1.06173273220524,7381.39774048869,43.1040700506779,,67.5630816773266,1.746,7.87558913182664,0.0,middle,0.0
CUW,2024,4.347105970852,,,68.1272162511339,5.02690000000014,18044.7751865648,23.0842005676443,,,,,,high,0.0
CYM,2024,166.996362350542,,,81.0676932508161,5.8155918263088,83005.4838305223,33.0195503234863,,,,85.5232283869582,,high,25.656968516087456
CYP,2025,-133.824278977736,0.68145,1.0,89.60099246,3.94077381708404,32617.216796875,120.87727355957,31.8,81.5765146373869,4.924,18.0329234506901,,high,0.0
CZE,2025,3.76083530894919,1.83369,541.0,87.68776014,1.23308611983484,20445.432830127,66.7282867431641,25.7,62.3966739543494,2.825,22.4045215279558,0.0,high,0.0
DEU,2025,1.01586176558023,3.1539,39822.0,93.49999579,-0.495851897260366,44027.7631554469,76.7096862792969,33.7,72.9547886419257,3.711,17.9772990379432,,high,0.0
DJI,2025,1.63337101411676,,3.0,65.29889679,6.98048467276334,3290.42482052598,5.16012001037598,41.6,92.1662710237891,26.015,3.27550022198031,0.0,middle,0.0
DMA,2024,8.70431929375585,,,82.04689789,2.052738472526,9172.71049624795,,,,,2.88328233207454,0.0,middle,82.04689789
DNK,2025,4.29658848924698,3.04841,1090.0,99.76915157,3.47783593140312,60772.8624276041,78.9604110717773,29.9,79.5748181773447,5.529,17.6194498489345,,high,0.0
